#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NODE_73_length_388_cov_48.630225	1	388	232	388	100	83.9175	34.5	55.4
NODE_74_length_385_cov_36.694805	1	385	166	385	100	56.7117	35.2	41.3
NODE_75_length_373_cov_34.668919	1	373	199	373	100	71.681	34	43.6
NODE_76_length_361_cov_27.440141	1	361	116	361	100	43.7784	34.7	55.5
NODE_77_length_337_cov_27.988462	1	337	113	337	100	45.3116	34.1	49.8
NODE_78_length_334_cov_31.684825	1	334	134	334	100	53.006	33.3	46.6
NODE_79_length_323_cov_119.138211	1	323	446	323	100	188.768	34.8	55.5
NODE_80_length_314_cov_121.147679	1	314	497	314	100	215.019	33.9	56.7
NODE_81_length_301_cov_24.593750	1	301	94	301	100	42.3389	33	55.7
NODE_82_length_299_cov_31.076577	1	299	108	299	100	48.087	34.4	52.4
NODE_83_length_287_cov_32.090476	1	287	74	287	100	35.6307	32	42.8
NODE_84_length_286_cov_37.751196	1	286	132	286	100	61.7517	34	52
NODE_85_length_285_cov_39.375000	1	285	150	285	100	65.3474	34.4	53.5
NODE_86_length_284_cov_32.623188	1	284	108	284	100	50.6549	34.7	51.9
NODE_87_length_283_cov_294.276699	1	283	1022	283	100	486.834	34.8	57.6
NODE_88_length_270_cov_34.611399	1	270	101	270	100	51.4074	34.5	56.6
NODE_89_length_262_cov_59.351351	1	262	88	262	100	47.9656	35.3	52
NODE_90_length_258_cov_39.640884	1	258	126	258	100	65.593	33.5	49.3
NODE_91_length_258_cov_31.911602	1	258	94	258	100	49.9419	34	49.2
NODE_92_length_257_cov_19.933333	1	257	67	257	100	34.0467	32.9	57.1
NODE_93_length_255_cov_27.589888	1	255	70	255	100	37.4824	33.2	45.6
NODE_94_length_244_cov_0.874251	1	244	2	244	100	1.22951	35.6	60
NODE_95_length_241_cov_37.213415	1	241	123	241	100	68.1826	34.4	47.5
NODE_96_length_236_cov_29.270440	1	236	81	236	100	43.4407	34.9	44.9
NODE_97_length_234_cov_49.076433	1	234	118	234	100	67.6923	34.5	51.3
NODE_98_length_232_cov_21.535484	1	232	64	232	100	37.694	32.2	58.3
NODE_99_length_227_cov_114.273333	1	227	298	227	100	168.749	35.6	54.4
NODE_100_length_223_cov_58.890411	1	223	39	223	100	23.9641	33.1	42.1
NODE_101_length_214_cov_26.328467	1	214	59	214	100	37.0047	35.5	54.6
NODE_102_length_214_cov_24.189781	1	214	47	214	100	28.1589	32.2	51.9
NODE_103_length_213_cov_46.080882	1	213	110	213	100	66.9531	34.3	42.3
NODE_104_length_213_cov_29.919118	1	213	98	213	100	56.1643	33.5	51.7
NODE_105_length_213_cov_25.080882	1	213	92	213	100	51.7934	32.6	52
NODE_106_length_206_cov_29.751938	1	206	71	206	100	45.7767	32.5	49.9
NODE_107_length_205_cov_32.203125	1	205	72	205	100	46.4341	35.1	53.7
NODE_108_length_205_cov_24.203125	1	205	55	205	100	35.4146	32.8	49.9
NODE_109_length_203_cov_35.587302	1	203	49	203	100	30.5468	32.6	51
NODE_110_length_196_cov_72.974790	1	196	157	196	100	104.638	34.7	52
NODE_111_length_192_cov_30.078261	1	192	63	192	100	40.3177	32.8	50.4
NODE_112_length_191_cov_137.605263	1	191	155	191	100	106.738	34.9	42.5
NODE_113_length_189_cov_25.133929	1	189	41	189	100	28.8042	32.5	56.7
NODE_114_length_188_cov_47.216216	1	188	67	188	100	45.6383	33.2	40.1
NODE_115_length_188_cov_31.432432	1	188	45	188	100	32.0691	34.3	52
NODE_116_length_187_cov_133.627273	1	187	257	187	100	178.439	35	55
NODE_117_length_186_cov_24.119266	1	186	50	186	100	33.828	32.2	54.2
NODE_118_length_183_cov_110.245283	1	183	270	183	100	158.858	36	47.2
NODE_119_length_182_cov_32.314286	1	182	65	182	100	39.544	35.4	42.6
NODE_120_length_177_cov_25.440000	1	177	38	177	100	26.7175	33.3	41.1
NODE_121_length_174_cov_23.577320	1	174	48	174	100	35.6264	31	53.5
NODE_122_length_174_cov_15.907216	1	174	36	174	100	26.908	29.6	54
NODE_123_length_170_cov_24.903226	1	170	44	170	100	31.6353	31.7	44.5
NODE_124_length_168_cov_18.978022	1	168	34	168	100	23.8512	33.6	39.3
NODE_125_length_167_cov_23.188889	1	167	18	167	100	13.1916	32.1	40.2
NODE_126_length_166_cov_146.764045	1	166	87	166	100	71.5602	35.4	47
NODE_127_length_166_cov_26.966292	1	166	41	166	100	30.9819	35	48.4
NODE_128_length_165_cov_38.590909	1	165	59	165	100	44.8788	34.1	45.8
NODE_129_length_164_cov_96.827586	1	164	145	164	100	113.482	35.6	49.1
NODE_130_length_160_cov_37.469880	1	160	19	160	100	15.7438	34.9	40.9
NODE_131_length_160_cov_30.795181	1	160	16	160	100	13.45	31.5	8.44
NODE_132_length_155_cov_150.628205	1	155	220	155	100	174.781	33	32.6
NODE_133_length_155_cov_131.858974	1	155	32	155	100	24.6839	34.3	11.7
NODE_134_length_155_cov_104.307692	1	155	153	155	100	122.729	34.9	39.2
NODE_135_length_155_cov_96.807692	1	155	148	155	100	115.239	33	29.7
NODE_136_length_155_cov_70.820513	1	155	55	155	100	43.1355	35	32.1
NODE_137_length_155_cov_61.179487	1	155	12	155	100	8.58065	35.4	26.7
NODE_138_length_155_cov_61.128205	1	155	20	155	100	16.7935	30.2	24.4
NODE_139_length_155_cov_59.243590	1	155	20	155	100	15.6645	33.7	10.8
NODE_140_length_155_cov_58.871795	1	155	89	155	100	71.4194	35.5	40.9
NODE_141_length_155_cov_51.320513	1	155	36	155	100	24.2	33.3	23.1
NODE_142_length_155_cov_42.807692	1	155	71	155	100	55.1161	34.7	54.4
NODE_143_length_155_cov_33.115385	1	155	11	153	98.7097	7.85161	35.7	30.7
NODE_144_length_155_cov_28.807692	1	155	73	155	100	50.929	33.4	39.2
NODE_145_length_155_cov_28.141026	1	155	38	155	100	29.6968	32.4	38
NODE_146_length_155_cov_27.769231	1	155	70	155	100	47.2065	31.9	33.3
NODE_147_length_155_cov_27.358974	1	155	73	155	100	61.6645	33.2	33.7
NODE_148_length_155_cov_25.038462	1	155	38	155	100	27.871	32.7	33.7
NODE_149_length_154_cov_31.571429	1	154	49	154	100	36.1494	31.8	20.9
NODE_150_length_154_cov_29.259740	1	154	32	154	100	25.013	32.7	48.7
NODE_151_length_154_cov_18.207792	1	154	26	154	100	19.6039	33.5	35.2
NODE_152_length_153_cov_37.789474	1	153	13	137	89.5425	7.01961	37.6	9.23
NODE_153_length_153_cov_34.855263	1	153	49	153	100	40.8366	34.2	50.7
NODE_154_length_153_cov_34.157895	1	153	48	153	100	40.1176	32.4	18.8
NODE_155_length_153_cov_30.052632	1	153	45	153	100	36.0196	32.2	8.56
NODE_156_length_153_cov_1.289474	1	153	101	153	100	75.0392	29.6	0.178
NODE_157_length_152_cov_42.533333	1	152	67	152	100	49.3289	36.3	46.3
NODE_158_length_152_cov_21.200000	1	152	24	152	100	20.4474	33.6	39.4
NODE_159_length_151_cov_41.202703	1	151	48	151	100	39.0464	35.9	42.2
NODE_160_length_149_cov_22.944444	1	149	20	149	100	12.7785	32.9	16.8
NODE_161_length_147_cov_39.128571	1	147	23	147	100	16.2925	33.9	51.5
NODE_162_length_142_cov_32.076923	1	142	7	142	100	4.83803	33	28.1
NODE_163_length_130_cov_37.566038	1	130	29	130	100	24.3231	32.7	31.5
NODE_164_length_130_cov_17.679245	1	130	31	130	100	25.8	36.3	32.1
NODE_165_length_129_cov_27.480769	1	129	3	129	100	2.97674	34.4	36
NODE_166_length_128_cov_64.333333	1	128	6	124	96.875	3.14062	37	0
NODE_167_length_125_cov_31.916667	1	125	18	125	100	15.832	32.3	16.1
NODE_168_length_123_cov_49.478261	1	123	11	123	100	9.04878	32.7	16.4
NODE_169_length_121_cov_43.772727	1	121	2	97	80.1653	1.60331	35.3	28
NODE_170_length_117_cov_25.400000	1	117	14	117	100	12.4359	34.5	34
NODE_171_length_115_cov_49.526316	1	115	10	115	100	8.86957	32.6	52.6
NODE_172_length_112_cov_82.171429	1	112	59	112	100	57.0446	31.6	44
NODE_173_length_111_cov_113.970588	1	111	81	111	100	78.5405	35.4	45.1
NODE_174_length_109_cov_30.250000	1	109	3	106	97.2477	2.56881	35.9	40
NODE_175_length_109_cov_1.625000	1	109	3	109	100	2.49541	34.7	14
NODE_176_length_108_cov_40.193548	1	108	4	97	89.8148	3.16667	37.1	0.5
NODE_177_length_107_cov_34.966667	1	107	4	76	71.028	2.18692	36.2	0
NODE_178_length_104_cov_37.888889	1	104	2	104	100	1.34615	21.3	37
NODE_179_length_100_cov_79.478261	1	100	8	97	97	6.45	37.3	20.9
NODE_180_length_100_cov_73.608696	1	100	1	94	94	0.94	25.5	1
NODE_181_length_99_cov_15.409091	1	99	2	59	59.596	1.19192	36.5	27.5
NODE_182_length_95_cov_15.888889	1	95	2	92	96.8421	1.93684	31.2	2
NODE_184_length_92_cov_26.000000	1	92	2	92	100	2	18.4	44
NODE_185_length_90_cov_102.538462	1	90	1	89	98.8889	0.988889	33.7	9
NODE_186_length_90_cov_53.384615	1	90	2	79	87.7778	1.75556	36	1
NODE_187_length_90_cov_29.615385	1	90	2	55	61.1111	1.22222	37.7	0
NODE_188_length_87_cov_63.200000	1	87	4	63	72.4138	2.49425	34.3	0.5
NODE_190_length_84_cov_42.285714	1	84	4	80	95.2381	3.47619	32.2	0.5
NODE_196_length_79_cov_30.500000	1	79	2	79	100	1.49367	37.7	34
NODE_197_length_78_cov_3661.000000	1	78	5	67	85.8974	2.5	23.4	0
NODE_198_length_78_cov_133.000000	1	78	4	64	82.0513	2.94872	39.3	0
NODE_200_length_78_cov_74.000000	1	78	30	78	100	20.5256	36.9	1
NODE_205_length_78_cov_45.000000	1	78	2	50	64.1026	1.28205	35.3	0
NODE_208_length_78_cov_35.000000	1	78	1	73	93.5897	0.935897	39.5	60
NODE_183_length_92_cov_46.533333	1	92	0	0	0	0	0	0
NODE_189_length_84_cov_61.571429	1	84	0	0	0	0	0	0
NODE_191_length_81_cov_99.500000	1	81	0	0	0	0	0	0
NODE_192_length_80_cov_79.000000	1	80	0	0	0	0	0	0
NODE_193_length_79_cov_119.500000	1	79	0	0	0	0	0	0
NODE_194_length_79_cov_99.500000	1	79	0	0	0	0	0	0
NODE_195_length_79_cov_73.000000	1	79	0	0	0	0	0	0
NODE_199_length_78_cov_132.000000	1	78	0	0	0	0	0	0
NODE_201_length_78_cov_73.000000	1	78	0	0	0	0	0	0
NODE_202_length_78_cov_71.000000	1	78	0	0	0	0	0	0
NODE_203_length_78_cov_67.000000	1	78	0	0	0	0	0	0
NODE_204_length_78_cov_51.000000	1	78	0	0	0	0	0	0
NODE_206_length_78_cov_42.000000	1	78	0	0	0	0	0	0
NODE_207_length_78_cov_36.000000	1	78	0	0	0	0	0	0
